Lafcadio  the Lion Who Shot Back,Shel Silverstein,4.15,Juvenile fiction,http://books.google.com/books/content?id=lmeJRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Secret Garden Cookbook,Amy Cotler,4.28,Juvenile nonfiction,http://books.google.com/books/content?id=c7E_HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Laura's Album,William Anderson,4.3,Juvenile nonfiction,http://books.google.com/books/content?id=_zTkqDlEV-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Quivers,Robin Quivers,3.51,African americans in radio broadcasting,http://books.google.com/books/content?id=3Fj1h-gIbUsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Moonspinners,Mary Stewart,4.03,Fiction,http://books.google.com/books/content?id=GRhFkTkZba4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Small Wonder,Barbara Kingsolver,4.01,Literary collections,http://books.google.com/books/content?id=2mrrlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Worlds Enough & Time,Dan Simmons,3.75,Fiction,http://books.google.com/books/content?id=EKoIG4auiB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Cheese Monkeys,Chip Kidd,3.75,Fiction,http://books.google.com/books/content?id=wkCm2zyHAcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Travels,Michael Crichton,3.95,Biography & autobiography,http://books.google.com/books/content?id=QYilZGadTEYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Caesar,Colleen McCullough,4.36,Fiction,http://books.google.com/books/content?id=aoH_-e_syp0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Forever War,Joe Haldeman,4.15,Fiction,http://books.google.com/books/content?id=jc1eCZlD-ScC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Amelia Bedelia Goes Camping,Peggy Parish,4.14,Juvenile fiction,http://books.google.com/books/content?id=WEEz7PKLpQkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Secret Sister,Elizabeth Lowell,3.65,Fiction,http://books.google.com/books/content?id=Pmjr6ytkCikC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Amelia Bedelia Helps Out,Peggy Parish,4.25,Juvenile fiction,http://books.google.com/books/content?id=rELWOiQkJTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Whirlpool,Elizabeth Lowell,3.78,Fiction,http://books.google.com/books/content?id=FrnsFG4_j1oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Teach Us  Amelia Bedelia,Peggy Parish,4.21,Juvenile fiction,http://books.google.com/books/content?id=gnVFCJ4sW3IC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cryptonomicon,Neal Stephenson,4.25,Fiction,http://books.google.com/books/content?id=qYAmfUBPN-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Falling Up,Shel Silverstein,4.34,Juvenile nonfiction,
Anansi Boys,Neil Gaiman,4.02,Fiction,http://books.google.com/books/content?id=VagoPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Fragile Things,Neil Gaiman,4.01,Fiction,http://books.google.com/books/content?id=ggLzJskmIqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
What Went Wrong?,Bernard Lewis,3.49,History,http://books.google.com/books/content?id=qgNrVchhhfMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Letters from the Earth,Mark Twain,4.22,Literary criticism,http://books.google.com/books/content?id=uURT_Dwfby0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Savannah Blues,Mary Kay Andrews,3.98,Fiction,http://books.google.com/books/content?id=q6lDgw6lr-MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Whipping Boy,Sid Fleischman,3.56,Juvenile fiction,http://books.google.com/books/content?id=zxTR6u81GY8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Innovator's Dilemma,Clayton M. Christensen,3.99,Business & economics,http://books.google.com/books/content?id=qZxlDIzXyqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Nose for Murder,Lee Charles Kelley,3.47,Fiction,http://books.google.com/books/content?id=c3PIvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Happiness,Will Ferguson,3.78,Fiction,http://books.google.com/books/content?id=4B2EYGj68uQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Size 12 Is Not Fat,Meg Cabot,3.74,Fiction,
Warrior of the Light,Paulo Coelho,3.7,Fiction,http://books.google.com/books/content?id=yH0zlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Devil and Miss Prym,Paulo Coelho,3.6,Fiction,http://books.google.com/books/content?id=TpR7JDmg9DoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Big Bing,Stanley Bing,3.08,Business & economics,http://books.google.com/books/content?id=Cb3MlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
One Hundred Years of Solitude,Gabriel Garcia Marquez,4.06,Fiction,http://books.google.com/books/content?id=pgPWOaOctq8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Walt Whitman,Justin Kaplan,3.99,Biography & autobiography,http://books.google.com/books/content?id=BMLXGLY9OzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
How to Make Love Like a Porn Star,Jenna Jameson,3.75,Biography & autobiography,http://books.google.com/books/content?id=qjZzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Outsider,Richard Wright,4.16,Fiction,http://books.google.com/books/content?id=aWtIFc7kdzsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
1421,Gavin Menzies,3.59,History,http://books.google.com/books/content?id=lD7S4QLUjBkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
